time_s,x_m,y_m,theta_rad,v_m_s,w_rad_s
2.770000000000000284e+01,6.824173777673534502e+00,3.309369405946223974e+00,2.468029168205032153e+00,-3.130498807877302170e-03,-1.191668082028627361e-02
2.775000000000000000e+01,6.824295973325849474e+00,3.309271885165795180e+00,2.467434982884371575e+00,-3.126792609691619873e-03,-1.188370641320943798e-02
2.780000000000000071e+01,6.824417751768570461e+00,3.309174578846332260e+00,2.466842148223588271e+00,-3.117595799267292023e-03,-1.185669321566820179e-02
2.785000000000000142e+01,6.824539798286519243e+00,3.309076939717835675e+00,2.466245548286171818e+00,-3.125939983874559402e-03,-1.193199874833226169e-02
2.790000000000000213e+01,6.824661824711043323e+00,3.308979197211969758e+00,2.465659928893367159e+00,-3.126918338239192963e-03,-1.171238785609603032e-02
2.795000000000000284e+01,6.824784095228213943e+00,3.308881141589482766e+00,2.465080364880780195e+00,-3.134644124656915665e-03,-1.159128025174140965e-02
2.800000000000000000e+01,6.824905989327048950e+00,3.308783271704178297e+00,2.464489045207085560e+00,-3.126447554677724838e-03,-1.182639347389340470e-02
2.805000000000000071e+01,6.825028379257647160e+00,3.308684884627615119e+00,2.463906723674083477e+00,-3.140656743198633194e-03,-1.164643066003918752e-02
2.810000000000000142e+01,6.825150681330014457e+00,3.308586450880973917e+00,2.463332501532206731e+00,-3.139872569590806961e-03,-1.148444283753633464e-02
2.815000000000000213e+01,6.825272901423387495e+00,3.308487967418023867e+00,2.462758337896013838e+00,-3.139219246804714203e-03,-1.148327272385358915e-02
2.820000000000000284e+01,6.825395181072472006e+00,3.308389320117691046e+00,2.462187565829301317e+00,-3.142203204333782196e-03,-1.141544133424758981e-02
2.825000000000000000e+01,6.825517451146125403e+00,3.308290565280997964e+00,2.461607427656347102e+00,-3.143405076116323471e-03,-1.160276345908641850e-02
2.830000000000000071e+01,6.825639348219729285e+00,3.308191994804389857e+00,2.461031244400585294e+00,-3.135285340249538422e-03,-1.152366511523723706e-02
2.835000000000000142e+01,6.825761392330488064e+00,3.308093189072450979e+00,2.460456490594590484e+00,-3.140531014651060104e-03,-1.149507611989974976e-02
2.840000000000000213e+01,6.825882975265058938e+00,3.307994640968104250e+00,2.459884502146089780e+00,-3.130120690912008286e-03,-1.143976897001266514e-02
2.845000000000000284e+01,6.826004560261554666e+00,3.307895975904078689e+00,2.459311323048243736e+00,-3.131626173853874207e-03,-1.146358195692300831e-02
2.850000000000000000e+01,6.826126617239016703e+00,3.307796811747321986e+00,2.458743054404551653e+00,-3.145246300846338272e-03,-1.136537287384271726e-02
2.855000000000000071e+01,6.826248145854138194e+00,3.307697962155778271e+00,2.458176000717724019e+00,-3.133078105747699738e-03,-1.134107373654842481e-02
2.860000000000000142e+01,6.826369849200946582e+00,3.307598855716527453e+00,2.457616083215618641e+00,-3.139031119644641876e-03,-1.119835004210472176e-02
2.865000000000000213e+01,6.826491858460831175e+00,3.307499386494934246e+00,2.457060329340094995e+00,-3.148357383906841278e-03,-1.111507751047611202e-02
2.870000000000000284e+01,6.826613694598981930e+00,3.307399945646554151e+00,2.456504497848147839e+00,-3.145315684378147125e-03,-1.111662983894348179e-02
2.875000000000000000e+01,6.826735375111514514e+00,3.307300519077624124e+00,2.455948320309328192e+00,-3.142724279314279556e-03,-1.112355077639222249e-02
2.880000000000000071e+01,6.826857108272333718e+00,3.307200936527699309e+00,2.455394422941537869e+00,-3.145514056086540222e-03,-1.107794735580682789e-02
2.885000000000000142e+01,6.826979170999587510e+00,3.307100971473970308e+00,2.454843636768566650e+00,-3.155460115522146225e-03,-1.101572345942258835e-02
2.890000000000000213e+01,6.827100634086012754e+00,3.307001385684059880e+00,2.454295369734684318e+00,-3.141376189887523651e-03,-1.096534067764878308e-02
2.895000000000000284e+01,6.827222582085463287e+00,3.306901290466639498e+00,2.453746445308136348e+00,-3.155336249619722366e-03,-1.097848853096365998e-02
2.900000000000000000e+01,6.827344902015216377e+00,3.306800777536547997e+00,2.453182889640959541e+00,-3.166386857628822327e-03,-1.127111334353685448e-02
2.905000000000000071e+01,6.827467504519312946e+00,3.306699916608391465e+00,2.452620962829025864e+00,-3.175172489136457443e-03,-1.123853623867034947e-02
2.910000000000000142e+01,6.827589582834698412e+00,3.306599371833792045e+00,2.452056735226581186e+00,-3.163059707731008530e-03,-1.128455204889178276e-02
2.915000000000000213e+01,6.827711556688541350e+00,3.306498797536451484e+00,2.451495484666595726e+00,-3.161822911351919174e-03,-1.122501119971275330e-02
2.920000000000000284e+01,6.827833635136904000e+00,3.306398021841201018e+00,2.450934395793522125e+00,-3.165999893099069595e-03,-1.122177746146917413e-02
2.925000000000000000e+01,6.827956054534707775e+00,3.306296849143165240e+00,2.450379827119106846e+00,-3.176313824951648712e-03,-1.109137348830699886e-02
2.930000000000000071e+01,6.828077653498184851e+00,3.306196240941930320e+00,2.449825990981119084e+00,-3.156473860144615173e-03,-1.107672275975346565e-02
2.935000000000000142e+01,6.828199413881988811e+00,3.306095385534786768e+00,2.449271842407690691e+00,-3.162113483995199203e-03,-1.108297146856784821e-02
2.940000000000000213e+01,6.828321134613951848e+00,3.305994449189800122e+00,2.448724606557445949e+00,-3.162535838782787323e-03,-1.094471700489521061e-02
2.945000000000000284e+01,6.828442933464345721e+00,3.305893335528116150e+00,2.448181559395673279e+00,-3.166002687066793442e-03,-1.086094323545694351e-02
2.950000000000000000e+01,6.828564617938339687e+00,3.305792205146077745e+00,2.447644551856140271e+00,-3.164456691592931747e-03,-1.074015079066157306e-02
2.955000000000000071e+01,6.828686298846642799e+00,3.305690967201371233e+00,2.447103890351648214e+00,-3.165777307003736496e-03,-1.081323008984327351e-02
2.960000000000000142e+01,6.828808070950478815e+00,3.305589541920995522e+00,2.446570621769572185e+00,-3.169576171785593033e-03,-1.066537164151668514e-02
2.965000000000000213e+01,6.828922306452906987e+00,3.305494290730619955e+00,2.446584719879249636e+00,-2.974729519337415695e-03,2.819621935486793843e-04
2.970000000000000284e+01,6.829036597124587438e+00,3.305398996270823897e+00,2.446619254451873449e+00,-2.976131159812211990e-03,6.906914524734020667e-04
2.975000000000000000e+01,6.829150604404132352e+00,3.305303944774819147e+00,2.446643430333281799e+00,-2.968666143715381622e-03,4.835176281630993215e-04
2.980000000000000071e+01,6.829264585198264292e+00,3.305208920031470043e+00,2.446661086560855569e+00,-2.967916661873459816e-03,3.531245514750480977e-04
2.985000000000000142e+01,6.829379242608581535e+00,3.305113334630827904e+00,2.446680796438525540e+00,-2.985490951687097549e-03,3.941975533962249973e-04
2.990000000000000213e+01,6.829493403351757586e+00,3.305018167095990389e+00,2.446706726694177103e+00,-2.972509711980819702e-03,5.186051130294799805e-04
2.995000000000000284e+01,6.829607547927126987e+00,3.304923018055637485e+00,2.446727752363006658e+00,-2.972024492919445038e-03,4.205133765935897719e-04
3.000000000000000000e+01,6.829721228455683857e+00,3.304828259888076492e+00,2.446754371820646590e+00,-2.959890058264136314e-03,5.323891527950763702e-04
3.005000000000000071e+01,6.829835277166556473e+00,3.304733199968074242e+00,2.446779308443586487e+00,-2.969410503283143044e-03,4.987324588000774600e-04
3.010000000000000142e+01,6.829956048222915577e+00,3.304632542058049349e+00,2.446262482054228915e+00,-3.144370391964912415e-03,-1.033652778714895352e-02
3.015000000000000213e+01,6.830070786731989863e+00,3.304536811501893823e+00,2.446270760189439120e+00,-2.988595981150865555e-03,1.655627042055130059e-04
3.020000000000000284e+01,6.830184218206714952e+00,3.304442173045190501e+00,2.446290428786235704e+00,-2.954531228169798851e-03,3.933719359338283756e-04
3.025000000000000000e+01,6.830297741541364154e+00,3.304347461734718383e+00,2.446311146462033292e+00,-2.956875367090106010e-03,4.143535159528255571e-04
3.030000000000000071e+01,6.830411358259619981e+00,3.304252676507489994e+00,2.446332716870750268e+00,-2.959256526082754135e-03,4.314081743359565735e-04
3.035000000000000142e+01,6.830525223570608873e+00,3.304157688056181819e+00,2.446356587902339896e+00,-2.965677995234727859e-03,4.774206317961215973e-04
3.040000000000000213e+01,6.830639285620264012e+00,3.304062540099527823e+00,2.446379941980051598e+00,-2.970742993056774139e-03,4.670815542340278625e-04
3.045000000000000284e+01,6.830753223251681661e+00,3.303967500442142935e+00,2.446404575345734855e+00,-2.967444714158773422e-03,4.926673136651515961e-04
3.050000000000000000e+01,6.830867300845334000e+00,3.303872348802256553e+00,2.446433093011076476e+00,-2.971028909087181091e-03,5.703533068299294169e-04
3.055000000000000071e+01,6.830981338007363846e+00,3.303777236400676554e+00,2.446463288188609031e+00,-2.969905268400907516e-03,6.039035506546497345e-04
3.060000000000000142e+01,6.831101696638859799e+00,3.303676857755960761e+00,2.445950516964006116e+00,-3.134458325803279877e-03,-1.025542449206113919e-02
3.065000000000000213e+01,6.831216229040395049e+00,3.303581238544643917e+00,2.445960222076321688e+00,-2.984004328027367592e-03,1.941022463142871965e-04
