time_s,x_m,y_m,theta_rad
8.785000000000000853e+01,8.505872338017644863e-01,4.080914846462754930e+00,1.571212290558317459e+00
8.790000000000000568e+01,8.505820342566882131e-01,4.093414841014226369e+00,1.571256840300278679e+00
8.795000000000000284e+01,8.505762778399825752e-01,4.105914835545096508e+00,1.571301423433314692e+00
8.800000000000000000e+01,8.505699641336511574e-01,4.118414831217708461e+00,1.571334882009541634e+00
8.805000000000001137e+01,8.505632321951936969e-01,4.130914826805105911e+00,1.571368363127484180e+00
8.810000000000000853e+01,8.505560817428393650e-01,4.143414822289811283e+00,1.571401868020493975e+00
8.815000000000000568e+01,8.505485124794012197e-01,4.155914817654308813e+00,1.571435398025969210e+00
8.820000000000000284e+01,8.505405240904430064e-01,4.168414813714720779e+00,1.571459234283838269e+00
8.825000000000000000e+01,8.505322377483128804e-01,4.180914809648685448e+00,1.571483086600560020e+00
8.830000000000001137e+01,8.505236532522778559e-01,4.193414805447275739e+00,1.571506955854790943e+00
8.835000000000000853e+01,8.505147703906220658e-01,4.205914801101543254e+00,1.571530842999311561e+00
8.840000000000000568e+01,8.505055889393261515e-01,4.218414797139184103e+00,1.571546394409797598e+00
8.845000000000000284e+01,8.504962130954403232e-01,4.230914793061268497e+00,1.571561956297464091e+00
8.850000000000000000e+01,8.504866427280017849e-01,4.243414788863954179e+00,1.571577529235571147e+00
8.855000000000001137e+01,8.504768776988821388e-01,4.255914784543389118e+00,1.571593113845739742e+00
8.860000000000000853e+01,8.504669178619416181e-01,4.268414780398243735e+00,1.571601633911750673e+00
8.865000000000000568e+01,8.504568515242046933e-01,4.280914776176412140e+00,1.571610159717824917e+00
8.870000000000000284e+01,8.504466786139214252e-01,4.293414771876713054e+00,1.571618691578031912e+00
8.875000000000000000e+01,8.504363990554159036e-01,4.305914767497960760e+00,1.571627229832935901e+00
8.880000000000001137e+01,8.504260127686497084e-01,4.318414763165837833e+00,1.571629878324259488e+00
8.885000000000000853e+01,8.504155933757527874e-01,4.330914758806996723e+00,1.571632528599899770e+00
8.890000000000000568e+01,8.504051408544213153e-01,4.343414754421310420e+00,1.571635180757486427e+00
8.895000000000000284e+01,8.503946551811309984e-01,4.355914750008650138e+00,1.571637834902885000e+00
8.900000000000000000e+01,8.503841363310322699e-01,4.368414745571379321e+00,1.571635671866296935e+00
8.905000000000001137e+01,8.503736445188807558e-01,4.380914741157387660e+00,1.571633507372448113e+00
8.910000000000000853e+01,8.503631797628924405e-01,4.393414736766618311e+00,1.571631341341603871e+00
8.915000000000000568e+01,8.503527420822797334e-01,4.405914732399015321e+00,1.571629173687303371e+00
8.920000000000000284e+01,8.503425859855380242e-01,4.418109163915906024e+00,1.559853136459571576e+00
8.925000000000000000e+01,8.504723157878377737e-01,4.429963533597362613e+00,1.543406579493672215e+00
8.930000000000001137e+01,8.507854376039951649e-01,4.441392755913705415e+00,1.523531399123659646e+00
8.935000000000000853e+01,8.513279326234733935e-01,4.452861957557813888e+00,1.503563324455334804e+00
8.940000000000000568e+01,8.520680263160933521e-01,4.463853259269409790e+00,1.481342973632180815e+00
8.945000000000000284e+01,8.530578285649385029e-01,4.474888739820478634e+00,1.458987152761848538e+00
8.950000000000000000e+01,8.542411294013785295e-01,4.485427819486139889e+00,1.435519910248206132e+00
8.955000000000001137e+01,8.556815799182130311e-01,4.496010988428701616e+00,1.411880334875235787e+00
8.960000000000000853e+01,8.573835790567798654e-01,4.506630733761510577e+00,1.388069839052674448e+00
8.965000000000000568e+01,8.593512979597678347e-01,4.517279271847917776e+00,1.364089875393494911e+00
8.970000000000000284e+01,8.614823875755331928e-01,4.527441754468966906e+00,1.339809001062130633e+00
8.975000000000000000e+01,8.638783965551903865e-01,4.537629514716313039e+00,1.315331244450912207e+00
