time_s,x_m,y_m,theta_rad,v_m_s,w_rad_s
1.760000000000000142e+01,7.598662000266756422e+00,3.117249420232559576e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.765000000000000213e+01,7.601072971858423344e+00,3.116588196994583893e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.769999999999999929e+01,7.603483943450090266e+00,3.115926973756608209e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.775000000000000000e+01,7.605894915041757187e+00,3.115265750518632526e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.780000000000000071e+01,7.608305886633424109e+00,3.114604527280656843e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.785000000000000142e+01,7.610716858225091030e+00,3.113943304042681159e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.790000000000000213e+01,7.613127829816757952e+00,3.113282080804705476e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.794999999999999929e+01,7.615538801408424874e+00,3.112620857566729793e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.800000000000000000e+01,7.617949773000091795e+00,3.111959634328754110e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.805000000000000071e+01,7.620360744591758717e+00,3.111298411090778426e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.810000000000000142e+01,7.622771716183425639e+00,3.110637187852802743e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.815000000000000213e+01,7.625182687775092560e+00,3.109975964614827060e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.819999999999999929e+01,7.627593659366759482e+00,3.109314741376851376e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.825000000000000000e+01,7.630004630958426404e+00,3.108653518138875693e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.830000000000000071e+01,7.632415602550093325e+00,3.107992294900900010e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.835000000000000142e+01,7.634826574141760247e+00,3.107331071662924327e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.840000000000000213e+01,7.637237545733427169e+00,3.106669848424948643e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.844999999999999929e+01,7.639648517325094090e+00,3.106008625186972960e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.850000000000000000e+01,7.642059488916761012e+00,3.105347401948997277e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.855000000000000071e+01,7.644470460508427934e+00,3.104686178711021594e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.860000000000000142e+01,7.646881432100094855e+00,3.104024955473045910e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.865000000000000213e+01,7.649292403691761777e+00,3.103363732235070227e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.869999999999999929e+01,7.651703375283428699e+00,3.102702508997094544e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
