time_s,x_m,y_m,theta_rad
2.450000000000000178e+00,1.457661905453018214e+00,9.085162816566758615e-01,1.473297860810849069e-01
2.500000000000000000e+00,1.470025635589753854e+00,9.103511223479013870e-01,1.479183704898944240e-01
2.550000000000000266e+00,1.482388324736874097e+00,9.121932459454226150e-01,1.485073458461229068e-01
2.600000000000000089e+00,1.494749966863753610e+00,9.140426565399794034e-01,1.490967331831024312e-01
2.650000000000000355e+00,1.507110555892751114e+00,9.158993584767349816e-01,1.496865552944454669e-01
2.700000000000000178e+00,1.519470680148012232e+00,9.177634460290930996e-01,1.498688001853290264e-01
2.750000000000000000e+00,1.531830468834061154e+00,9.196297867778114865e-01,1.500511439330438901e-01
2.800000000000000266e+00,1.544189921257415721e+00,9.214983818694891804e-01,1.502335913587392047e-01
2.850000000000000089e+00,1.556549036714923950e+00,9.233692325100818499e-01,1.504161476454310142e-01
2.900000000000000355e+00,1.568907814493042396e+00,9.252423399693673334e-01,1.505988183751277021e-01
2.950000000000000178e+00,1.581266253867040783e+00,9.271177055858691451e-01,1.507816095708404691e-01
3.000000000000000000e+00,1.593624354100123375e+00,9.289953307722982334e-01,1.509645277442713263e-01
3.050000000000000266e+00,1.605982114442455089e+00,9.308752170215838229e-01,1.511475799501246498e-01
3.100000000000000089e+00,1.618339570732326482e+00,9.327573714884334066e-01,1.510467861953166402e-01
3.150000000000000355e+00,1.630697218003035687e+00,9.346382805943774796e-01,1.509459379396146661e-01
3.200000000000000178e+00,1.643055056201542685e+00,9.365179436419652781e-01,1.508450325272413794e-01
3.250000000000000000e+00,1.655413085279588969e+00,9.383963599009161882e-01,1.507440671034164792e-01
3.300000000000000266e+00,1.667771305194057696e+00,9.402735286056588260e-01,1.506430385939711847e-01
3.350000000000000089e+00,1.680129715907370702e+00,9.421494489526172078e-01,1.505419436822843238e-01
3.400000000000000355e+00,1.692488317387927710e+00,9.440241200972123714e-01,1.504407787831065768e-01
3.450000000000000178e+00,1.704847109610592604e+00,9.458975411505397002e-01,1.503395400127549852e-01
3.500000000000000000e+00,1.717206092557234332e+00,9.477697111756782089e-01,1.502382231550568326e-01
3.550000000000000266e+00,1.729565041394935943e+00,9.496405951502132625e-01,1.499462600691204295e-01
3.600000000000000089e+00,1.741924546884094260e+00,9.515078723424204021e-01,1.496541317744210786e-01
3.650000000000000355e+00,1.754284608028698900e+00,9.533715405068504678e-01,1.493618300476020622e-01
3.700000000000000178e+00,1.766645223846161850e+00,9.552315972966609614e-01,1.490693460339369836e-01
3.750000000000000000e+00,1.779006393368370187e+00,9.570880402557943034e-01,1.487766701810611658e-01
3.800000000000000266e+00,1.791368115642849368e+00,9.589408668103356348e-01,1.484837921637761626e-01
3.850000000000000089e+00,1.803730389734052197e+00,9.607900742589388088e-01,1.481907007984451241e-01
3.900000000000000355e+00,1.816093214724792793e+00,9.626356597621924527e-01,1.478973839452006889e-01
3.950000000000000178e+00,1.828456297820043153e+00,9.644775768423061724e-01,1.474992710720375022e-01
4.000000000000000000e+00,1.840820133622474097e+00,9.663145749044602661e-01,1.471009332989658969e-01
4.049999999999999822e+00,1.853184720119470663e+00,9.681466507912021013e-01,1.467023594697242084e-01
4.100000000000000533e+00,1.865550055315267963e+00,9.699738012079592853e-01,1.463035375723293341e-01
4.150000000000000355e+00,1.877916137232287896e+00,9.717960227124280426e-01,1.459044546494057959e-01
