time_s,x_m,y_m,theta_rad
1.535000000000000142e+01,8.849006575471156655e-01,4.541743737441752415e+00,1.047087416177899799e+00
1.540000000000000036e+01,8.907815807229791938e-01,4.551927204889532952e+00,9.981939428236011880e-01
1.545000000000000107e+01,8.972406308198669356e-01,4.561946731349884487e+00,9.648417089370936450e-01
1.550000000000000000e+01,9.040825562092132950e-01,4.571820860564662858e+00,9.328893767889632205e-01
1.555000000000000071e+01,9.111476534417317641e-01,4.581351603288532637e+00,8.879987631022084882e-01
1.560000000000000142e+01,9.187200624811976413e-01,4.590662336885541706e+00,8.570090191247768940e-01
1.565000000000000036e+01,9.266293777351519712e-01,4.599794066197911313e+00,8.273904452884067728e-01
1.570000000000000107e+01,9.347272864832706363e-01,4.608602320906623362e+00,7.866175823703777104e-01
1.575000000000000000e+01,9.432584842954824245e-01,4.617154350340583413e+00,7.581374097265610734e-01
1.580000000000000071e+01,9.520786568436649944e-01,4.625506282379096668e+00,7.309835085871654314e-01
1.585000000000000142e+01,9.611662157224760694e-01,4.633655007989980312e+00,7.063229802708695937e-01
1.590000000000000036e+01,9.703840171674245063e-01,4.641519223376563197e+00,6.715711679502476272e-01
1.595000000000000107e+01,9.799342034035458671e-01,4.649109851802010418e+00,6.475212536745189595e-01
1.600000000000000000e+01,9.897023840688503604e-01,4.656497531791963240e+00,6.245422282510838530e-01
1.605000000000000071e+01,9.996718579756160850e-01,4.663683415037583657e+00,6.036690776212937370e-01
1.610000000000000142e+01,1.009733542875157042e+00,4.670621316558815295e+00,5.739445017947883976e-01
1.615000000000000213e+01,1.020047521227903209e+00,4.677289796057927163e+00,5.534832454071980656e-01
1.619999999999999929e+01,1.030525228587976239e+00,4.683764056096570982e+00,5.339076300242054929e-01
1.625000000000000000e+01,1.041153872390465640e+00,4.690047478604146391e+00,5.161227742125673590e-01
1.630000000000000071e+01,1.051848603425801887e+00,4.696115935537505948e+00,4.906436027108685982e-01
1.635000000000000142e+01,1.062733357547003266e+00,4.701930735986495691e+00,4.731560965338984515e-01
